ID,Price,Area,#bedroom,#bathroom,Air_conditioning,Garage_capacity,Pool,Year,Quality,Style,Lot_area,Adj_to_highway,AGE
1,360000,3032,4,4,YES,2,NO,1972,MEDIUM,1,22221,NO,26
2,340000,2058,4,2,YES,2,NO,1976,MEDIUM,1,22912,NO,22
3,250000,1780,4,3,YES,2,NO,1980,MEDIUM,1,21345,NO,18
4,205500,1638,4,2,YES,2,NO,1963,MEDIUM,1,17342,NO,35
5,275500,2196,4,3,YES,2,NO,1968,MEDIUM,7,21786,NO,30
6,248000,1966,4,3,YES,5,YES,1972,MEDIUM,1,18902,NO,26
7,229900,2216,3,2,YES,2,NO,1972,MEDIUM,7,18639,NO,26
8,150000,1597,2,1,YES,1,NO,1955,MEDIUM,1,22112,NO,43
9,195000,1622,3,2,YES,2,NO,1975,LOW,1,14321,NO,23
10,160000,1976,3,3,NO,1,NO,1918,LOW,1,32358,NO,80
11,190000,2812,7,5,NO,2,YES,1966,LOW,7,56639,NO,32
12,559000,2791,3,4,YES,3,NO,1992,HIGH,1,30595,NO,6
13,535000,3381,5,4,YES,3,NO,1988,HIGH,7,23172,NO,10
14,525000,3459,5,4,YES,2,NO,1978,HIGH,5,35351,NO,20
15,299900,2090,3,3,YES,2,NO,1987,MEDIUM,1,24025,NO,11
16,527000,3232,5,5,YES,2,NO,1984,MEDIUM,6,21445,NO,14
17,169900,1502,2,2,YES,2,NO,1956,MEDIUM,1,28958,NO,42
18,335250,2747,3,4,YES,2,NO,1993,MEDIUM,7,22241,NO,5
19,323900,2890,4,3,YES,2,NO,1954,MEDIUM,7,41992,NO,44
20,200000,1825,3,3,YES,2,NO,1957,MEDIUM,1,30266,NO,41
21,211000,1578,4,3,YES,2,NO,1986,MEDIUM,2,18829,NO,12
22,212000,1763,3,3,YES,2,NO,1959,MEDIUM,1,24726,NO,39
23,245000,2517,4,3,YES,2,NO,1965,MEDIUM,1,23261,NO,33
24,140400,1872,3,2,YES,2,NO,1985,MEDIUM,3,24017,NO,13
25,295000,3266,3,3,YES,2,NO,1908,MEDIUM,6,24881,NO,90
26,170900,2020,1,2,YES,1,NO,1956,MEDIUM,1,21385,NO,42
27,229000,2164,4,2,YES,2,NO,1965,MEDIUM,1,28291,NO,33
28,218500,2080,3,2,YES,2,YES,1959,MEDIUM,1,14752,NO,39
29,160000,2208,2,2,YES,2,NO,1985,MEDIUM,7,8058,NO,13
30,259000,3048,6,4,YES,3,NO,1960,MEDIUM,7,29307,NO,38
31,164500,1460,3,2,YES,2,NO,1978,MEDIUM,1,9999,NO,20
32,280000,2540,3,2,NO,2,NO,1940,MEDIUM,5,42428,NO,58
33,154000,2208,2,2,YES,2,NO,1985,MEDIUM,7,6746,NO,13
34,272000,2560,4,2,YES,3,NO,1977,MEDIUM,5,36100,NO,21
35,180000,2061,4,2,NO,2,NO,1958,MEDIUM,1,20138,NO,40
36,157500,1980,3,2,YES,2,NO,1957,MEDIUM,1,32519,NO,41
37,242500,3308,5,4,YES,2,NO,1928,MEDIUM,5,47323,NO,70
38,182000,2616,5,3,NO,2,NO,1955,LOW,5,11123,NO,43
39,178000,1460,4,2,YES,2,NO,1961,LOW,1,27095,NO,37
40,171900,1580,2,1,NO,1,NO,1951,LOW,4,12417,NO,47
41,165500,1460,3,2,YES,2,NO,1960,LOW,1,22493,NO,38
42,183500,1540,3,2,YES,2,NO,1992,LOW,3,15801,NO,6
43,135000,1388,2,1,NO,2,NO,1951,LOW,1,26106,NO,47
44,175000,1624,3,2,YES,2,NO,1948,LOW,1,39219,NO,50
45,149500,1580,2,1,YES,2,NO,1966,LOW,1,11166,NO,32
